cnae2009_seccion_1digito_cod,cnae2009_seccion_1digito_nombre,cnae2009_division_2digitos_cod,cnae2009_division_2digitos_nombre,cnae2009_grupo_3digitos_cod,cnae2009_grupo_3digitos_nombre,cnae2009_clase_4digitos_cod,cnae2009_clase_4digitos_nombre,cnae2009_clase_4digitos_codint
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",011,Cultivos no perennes,0111,"Cultivo de cereales (excepto arroz), leguminosas y semillas oleaginosas",A0111
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",011,Cultivos no perennes,0112,Cultivo de arroz,A0112
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",011,Cultivos no perennes,0113,"Cultivo de hortalizas, raíces y tubérculos",A0113
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",011,Cultivos no perennes,0114,Cultivo de caña de azúcar,A0114
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",011,Cultivos no perennes,0115,Cultivo de tabaco,A0115
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",011,Cultivos no perennes,0116,Cultivo de plantas para fibras textiles,A0116
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",011,Cultivos no perennes,0119,Otros cultivos no perennes,A0119
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",012,Cultivos perennes,0121,Cultivo de la vid,A0121
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",012,Cultivos perennes,0122,Cultivo de frutos tropicales y subtropicales,A0122
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",012,Cultivos perennes,0123,Cultivo de cítricos,A0123
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",012,Cultivos perennes,0124,Cultivo de frutos con hueso y pepitas,A0124
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",012,Cultivos perennes,0125,Cultivo de otros árboles y arbustos frutales y frutos secos,A0125
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",012,Cultivos perennes,0126,Cultivo de frutos oleaginosos,A0126
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",012,Cultivos perennes,0127,Cultivo de plantas para bebidas,A0127
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",012,Cultivos perennes,0128,"Cultivo de especias, plantas aromáticas, medicinales y farmacéuticas",A0128
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",012,Cultivos perennes,0129,Otros cultivos perennes,A0129
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",013,Propagación de plantas,0130,Propagación de plantas,A0130
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",014,Producción ganadera,0141,Explotación de ganado bovino para la producción de leche,A0141
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",014,Producción ganadera,0142,Explotación de otro ganado bovino y búfalos,A0142
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",014,Producción ganadera,0143,Explotación de caballos y otros equinos,A0143
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",014,Producción ganadera,0144,Explotación de camellos y otros camélidos,A0144
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",014,Producción ganadera,0145,Explotación de ganado ovino y caprino,A0145
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",014,Producción ganadera,0146,Explotación de ganado porcino,A0146
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",014,Producción ganadera,0147,Avicultura,A0147
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",014,Producción ganadera,0149,Otras explotaciones de ganado,A0149
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",015,Producción agrícola combinada con la producción ganadera,0150,Producción agrícola combinada con la producción ganadera,A0150
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",016,"Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha",0161,Actividades de apoyo a la agricultura,A0161
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",016,"Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha",0162,Actividades de apoyo a la ganadería,A0162
A,"Agricultura, ganadería, silvicultura y pesca",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",016,"Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha",0163,Actividades de preparación posterior a la cosecha,A0163
