"12m_02 Afi. Med. (R. General y RETA) CNAE-09 desde 2009 por Fecha, Régimen y Actividad Económica"

"Fecha","Régimen","01  Agricultura, ganadería, caza y servicios","02  Silvicultura y explotación forestal","03  Pesca y acuicultura","05  Extracción de antracita, hulla y lignito","06  Extracción de crudo de petróleo y gas natural","07  Extracción de minerales metálicos","08  Otras industrias extractivas","09  Actividades de apoyo a las industrias extractivas","10  Industria de la alimentación","11  Fabricación de bebidas","12  Industria del tabaco","13  Industria textil","14  Confección de prendas de vestir","15  Industria del cuero y del calzado","16  Industria de la madera y del corcho, excepto muebles","17  Industria del papel","18  Artes gráficas y reproducción de soportes grabados","19  Coquerías y refino de petróleo","20  Industria química","21  Fabricación de productos farmacéuticos","22  Fabricación de productos de caucho y plásticos","23  Fabricación de otros productos minerales","24  Metalurgia; fabricación de productos de hierro, acero","25  Fabricación de productos metálicos, excepto maquina.","26  Fabricación de productos informáticos, electró. ópticos","27  Fabricación de material y equipo eléctrico","28  Fabricación de maquinaria y equipo n.c.o.p.","29  Fabricación de vehículos de motor, remolques","30  Fabricación de otro material de transporte","31  Fabricación de muebles","32  Otras industrias manufactureras","33  Reparación e instalación de maquinaria y equipo","35  Suministro de energía eléctrica, gas, vapor  y aire c.","36  Captación, depuración y distribución de agua","37  Recogida y tratamiento de aguas residuales","38  Recogida, tratamiento y eliminación de residuos","39  Actividades de descontaminación y otros","41  Construcción de edificios","42  Ingeniería civil","43  Actividades de construcción especializada","45 Venta y reparación de vehículos de motor","46  Comercio al por mayor e intermediarios, excepto v. motor","47  Comercio al por menor, excepto de vehículos motor","49  Transporte terrestre y por tubería","50 Transporte marítimo y por vías navegable","51  Transporte aéreo","52  Almacenamiento y actividades anexas al transporte","53  Actividades postales y de correos","55  Servicios de alojamiento","56  Servicios de comidas y bebidas","58  Edición","59  Actividades cinematográficas, de vídeo y prog. telev.","60  Actividades de programación y emisión de radio y telev.","61  Telecomunicaciones","62  Programación, consultoría y otras activ. ,  Informáticas","63  Servicios de información","64  Servicios financieros, excepto seguros y fondos pens.","65  Seguros, reaseguros y fondos de pensiones","66  Actividades auxiliares a los servicios financieros y segur.","68  Actividades inmobiliarias","69  Actividades jurídicas y de contabilidad","70 Actividades de las sedes centrales; activ. Consul. Gest. Empr.","71  Servicios técnicos de arquitectura e ingeniería","72  Investigación y desarrollo","73  Publicidad y estudios de mercado","74  Otras actividades profesionales, científicas y técnicas","75  Actividades veterinarias","77  Actividades de alquiler","78  Actividades relacionadas con el empleo","79  Actividades de agencias de viajes, operadores turis.","80  Actividades de seguridad e investigación","81  Servicios a edificios y actividades de jardinería","82  Actividades administrativas de oficina y activ. Aux. empresas","84  Administración Pòblica y defensa; Seguridad Soc. oblig.","85  Educación","86  Actividades sanitarias","87  Asistencia en establecimientos residenciales","88  Actividades de servicios sociales sin alojamiento","90  Actividades de creación, artísticas y espectáculos","91  Actividades de bibliotecas, archivos, museos y o. act. Cult.","92  Actividades de juegos de azar y apuestas","93  Actividades deportivas, recreativas y de entretenimiento","94  Actividades asociativas","95  Reparación de ordenadores, efectos personales y uso dom.","96  Otros servicios personales","97  Actividades de los hogares como empleado","98 Actividades de los hogares como productores de bienes","99  Actividades de organizaciones y organ. Extraterritoriales","No consta actividad","MEDIA TOTAL"
"enero 2009","Reg. General",31881.55,15987.25,2627.80,90.35,35.55,1360.45,24132.30,1443.10,303276.80,51454.90,3773.25,43788.85,60218.35,33508.40,69585.30,46890.00,78980.95,10944.65,88279.70,42770.35,96964.40,148518.45,103188.80,261002.10,25736.90,44302.40,145767.30,150307.20,59353.60,77414.35,22578.05,71159.70,41497.80,40003.40,4031.50,87858.85,916.20,619173.10,103464.90,663729.30,258474.15,800756.65,1313664.50,400684.95,768.10,40130.45,149351.35,59940.85,205448.45,676561.45,82696.40,35742.40,26744.25,86830.60,131924.40,11625.70,289939.90,60502.15,45059.95,65882.35,224266.75,52141.70,191808.00,51904.15,89469.45,26936.55,9164.10,208169.05,110607.35,48661.75,124045.20,496479.75,128173.85,1061371.90,691060.75,854849.55,179571.25,205979.95,26090.75,14001.50,30212.05,122510.85,141117.90,40341.15,162655.35,41246.20,0.00,2060.40,0.00,13755624.35
"enero 2009","R.E.Autónomos",295530.30,3439.15,3208.80,286.20,6.00,69.30,1958.75,106.55,38749.75,3451.65,49.00,5394.80,14636.35,5440.90,22125.40,1763.85,16125.35,48.95,3533.20,102.20,5920.35,13234.40,11782.60,42700.35,2355.50,6070.35,17626.10,2168.45,2384.80,21264.55,6151.10,15831.10,1085.60,513.30,204.25,1684.10,115.00,157500.80,37741.65,331400.85,84073.20,174499.95,539149.75,208222.70,166.50,140.40,5788.45,3783.45,16848.55,301452.90,10649.50,6970.30,806.25,4433.25,17035.00,5125.55,3062.55,4161.85,42984.35,31165.85,66490.35,15033.15,49971.15,8845.10,23113.45,29656.65,8173.85,55648.25,1791.95,10336.95,1847.60,47957.85,19426.95,477.75,57130.15,66747.85,2351.40,3703.00,25350.50,1680.55,5179.65,18247.70,20186.00,79415.15,113894.05,336.65,0.00,10.65,0.00,3287286.25
"febrero 2009","Reg. General",33293.55,17459.75,2314.65,90.55,36.55,1389.15,23771.75,1448.70,303282.25,50687.80,3725.50,44632.85,60035.10,33786.25,67993.45,46571.25,78055.45,9722.85,88556.55,42822.15,95989.90,145430.70,99565.50,258976.60,26411.15,51107.35,139964.90,150879.45,57916.40,76449.45,23495.60,62855.90,40497.85,40230.85,4043.60,87034.95,949.45,616569.85,96801.40,664061.05,256498.60,786520.45,1298356.35,397302.40,756.50,39822.65,149386.15,61861.40,210009.65,673899.65,79093.90,35698.40,26657.55,86039.55,138201.00,12759.45,290138.25,59947.95,45632.00,65410.70,219838.90,52156.95,191765.80,52646.15,89306.70,32201.00,9232.40,191828.80,107272.00,48251.10,122832.40,497188.55,133549.05,1066366.45,702322.15,848393.95,180889.85,211983.60,26655.25,13980.90,30075.80,123456.60,141839.10,39365.15,160739.95,41402.95,0.00,2101.25,0.00,13700543.30
"febrero 2009","R.E.Autónomos",294446.05,3407.30,3083.20,276.35,6.00,71.95,1944.05,106.15,38706.65,3428.80,49.00,5376.90,14498.70,5361.90,21891.50,1747.60,16051.00,47.80,3503.25,102.00,5876.65,13125.20,11623.30,42472.10,2339.50,6038.55,17416.55,2158.40,2340.40,21061.70,6171.70,15836.20,1099.30,514.65,210.35,1663.35,116.85,154059.50,35539.10,326056.80,83813.05,173790.50,536776.65,207182.65,167.50,137.90,5756.90,3790.45,16795.10,300654.50,10533.25,6970.10,801.50,4428.70,17057.10,5168.85,3053.25,4132.75,43104.95,30843.95,66691.20,15086.85,49765.45,8864.55,22989.20,29721.65,8178.65,54253.35,1785.30,10251.50,1816.45,47210.00,19552.35,479.95,57354.60,66892.10,2357.90,3706.00,25049.10,1663.55,5222.80,18147.65,20031.25,78168.05,113512.00,323.70,0.00,11.00,0.00,3263872.05
"marzo 2009","Reg. General",34333.72,17735.59,2036.13,97.50,36.77,1384.63,23485.81,1449.59,301219.86,49301.18,3706.27,45071.95,58459.54,31199.68,65877.86,45196.18,76350.13,9516.09,87547.59,43016.36,94822.22,142385.81,96407.22,254801.18,26694.77,54080.54,137264.27,151895.54,57102.59,75330.00,25173.09,55816.00,39751.13,40454.13,4051.27,87011.31,990.31,607649.72,94780.00,652321.13,253994.09,776836.09,1287363.81,394389.72,741.50,39721.40,150865.68,61589.18,218290.40,681735.13,76677.68,35537.86,26638.59,85298.86,140471.86,13990.22,289366.40,59858.63,45557.54,65321.36,219193.00,51785.68,190594.86,53585.63,88738.86,36810.22,9279.86,178311.68,103615.09,48186.40,121835.36,496339.81,137749.90,1071621.81,707964.86,849895.50,182754.90,222683.59,26637.86,14173.54,29942.72,125179.40,141779.63,38366.68,158269.59,41570.22,0.00,2124.04,0.00,13649041.72
"marzo 2009","R.E.Autónomos",293541.54,3386.76,2967.54,274.81,6.18,72.45,1924.86,104.59,38623.17,3415.18,49.00,5360.90,14269.22,5317.00,21703.09,1743.81,16033.50,46.72,3484.86,101.86,5844.77,13030.27,11520.13,42249.45,2335.04,5971.22,17244.36,2148.90,2313.00,20913.95,6174.22,15834.68,1109.90,512.27,208.36,1657.04,119.54,151776.08,33866.63,322725.76,83670.13,173396.50,536426.53,206534.77,169.59,142.31,5756.40,3801.00,16819.22,301687.26,10482.86,6917.40,806.31,4472.72,17156.86,5291.49,3062.72,4117.77,43230.36,30653.31,66895.36,15103.95,49714.72,8941.86,22977.54,29983.45,8183.13,53328.72,1792.81,10316.18,1809.59,46923.13,19873.72,479.81,57727.13,67117.81,2362.22,3702.68,25076.31,1666.59,5248.90,18174.04,19926.81,77446.17,113585.45,320.40,0.00,11.86,0.00,3253268.95
"abril 2009","Reg. General",34785.65,19671.60,1967.20,96.35,37.00,1386.15,23291.90,1461.40,300126.75,48806.10,3635.35,44801.25,55886.80,28066.75,64585.25,44712.40,75344.90,9485.15,86313.45,43461.95,93934.45,140127.80,94818.70,250137.15,36445.05,53863.05,123757.45,150766.75,56658.25,73945.30,25283.65,54607.00,39276.30,40663.90,4228.20,87604.55,1009.60,596631.05,92585.20,640743.45,251600.80,767152.15,1283830.70,392775.65,722.80,39612.90,151755.20,61913.35,238111.60,700527.45,75436.40,35625.65,26582.30,84847.30,140193.85,14756.80,288258.75,59906.55,45458.10,64838.10,218299.40,51998.55,189331.40,54056.00,87751.10,37722.50,9357.70,172093.80,103949.75,48374.50,121749.30,497729.30,140624.45,1074512.35,704555.80,851047.25,185875.25,229228.65,26547.75,14404.80,29967.15,126834.30,141566.45,38062.20,157546.45,41720.60,0.00,2143.10,0.00,13625966.45
"abril 2009","R.E.Autónomos",292590.35,3330.00,2854.00,271.95,7.00,69.90,1921.70,106.00,38609.40,3402.25,49.00,5357.85,14045.85,5265.80,21540.75,1725.55,15969.35,46.00,3468.15,102.00,5812.50,12933.40,11416.50,41959.60,2327.00,5925.85,17105.05,2144.95,2291.00,20734.40,6184.00,15813.25,1120.35,510.05,208.80,1640.80,117.05,149402.25,32293.85,319325.15,83514.50,172842.30,537129.45,205609.35,174.90,143.30,5740.50,3802.70,17094.55,304245.15,10429.30,6893.80,809.80,4479.00,17176.35,5370.90,3061.45,4097.80,43340.95,30414.20,67060.85,15120.00,49580.15,8979.60,23002.90,30159.80,8199.60,52558.30,1813.00,10396.80,1818.70,46650.75,20161.40,481.00,57695.00,67267.25,2356.80,3719.95,25042.75,1663.10,5268.25,18374.90,19844.90,76816.25,113791.20,322.15,0.00,12.00,0.00,3244526.25
"mayo 2009","Reg. General",35682.95,22270.60,1922.55,77.70,37.00,1396.15,23118.35,1450.65,302005.80,48909.10,3438.35,44592.05,55134.00,29068.35,63913.90,44494.55,74637.15,9297.45,86053.15,43898.55,93387.60,138480.00,93751.50,248174.85,36093.45,54012.35,121911.15,150396.85,56673.05,72913.00,25461.55,54083.75,38315.60,40963.00,4383.45,88055.25,1048.45,601400.85,93388.20,640051.65,250130.95,762718.25,1283791.05,393952.00,726.90,39734.70,152165.20,61338.30,255491.80,718956.40,74701.20,35956.50,26512.75,84716.40,139820.30,15086.95,288136.20,59859.85,45648.05,64763.45,217869.25,53889.90,188825.70,54635.35,89013.05,38313.95,9382.90,168309.75,107421.20,49076.30,122556.25,500401.70,143018.60,1082792.90,704899.15,852778.75,188124.05,235542.80,28113.95,14678.10,29949.35,127133.00,141184.75,37671.45,159568.00,41884.90,0.00,2140.45,0.00,13687726.60
"mayo 2009","R.E.Autónomos",291677.20,3306.65,2797.75,263.55,7.00,69.35,1903.70,103.05,38629.60,3374.80,48.65,5343.70,13852.10,5218.75,21407.50,1718.05,15919.15,45.20,3452.90,102.75,5781.55,12877.75,11327.10,41778.35,2321.75,5876.90,16985.80,2137.75,2261.60,20555.65,6198.30,15828.15,1130.40,507.45,209.90,1631.25,117.95,147520.35,31018.90,316385.45,83376.10,172477.90,537582.00,204993.65,181.90,143.65,5747.15,3819.45,17280.35,306281.30,10377.65,6884.60,814.75,4500.50,17197.40,5471.00,3063.05,4079.95,43448.15,30229.00,67161.95,15149.45,49549.60,9000.25,23004.35,30364.25,8239.05,51936.50,1840.25,10453.00,1815.00,46432.75,20510.35,477.50,57716.70,67422.25,2385.05,3744.75,25195.20,1664.25,5271.95,18623.45,19761.20,76306.55,113963.00,321.25,0.00,12.00,0.00,3237965.05
