fecha,cnae_cod,cnae_nombre,afiliados_medios_reg_general,afiliados_medios_autonomos,afiliados_medios_total
2009-01-01,01,"Agricultura, ganadería, caza y servicios",31881.55,295530.3,327411.85
2009-01-01,02,Silvicultura y explotación forestal,15987.25,3439.15,19426.4
2009-01-01,03,Pesca y acuicultura,2627.8,3208.8,5836.6
2009-01-01,05,"Extracción de antracita, hulla y lignito",90.35,286.2,376.54999999999995
2009-01-01,06,Extracción de crudo de petróleo y gas natural,35.55,6,41.55
2009-01-01,07,Extracción de minerales metálicos,1360.45,69.3,1429.75
2009-01-01,08,Otras industrias extractivas,24132.3,1958.75,26091.05
2009-01-01,09,Actividades de apoyo a las industrias extractivas,1443.1,106.55,1549.6499999999999
2009-01-01,10,Industria de la alimentación,303276.8,38749.75,342026.55
2009-01-01,11,Fabricación de bebidas,51454.9,3451.65,54906.55
2009-01-01,12,Industria del tabaco,3773.25,49,3822.25
2009-01-01,13,Industria textil,43788.85,5394.8,49183.65
2009-01-01,14,Confección de prendas de vestir,60218.35,14636.35,74854.7
2009-01-01,15,Industria del cuero y del calzado,33508.4,5440.9,38949.3
2009-01-01,16,"Industria de la madera y del corcho, excepto muebles",69585.3,22125.4,91710.70000000001
2009-01-01,17,Industria del papel,46890,1763.85,48653.85
2009-01-01,18,Artes gráficas y reproducción de soportes grabados,78980.95,16125.35,95106.3
2009-01-01,19,Coquerías y refino de petróleo,10944.65,48.95,10993.6
2009-01-01,20,Industria química,88279.7,3533.2,91812.9
2009-01-01,21,Fabricación de productos farmacéuticos,42770.35,102.2,42872.549999999996
2009-01-01,22,Fabricación de productos de caucho y plásticos,96964.4,5920.35,102884.75
2009-01-01,23,Fabricación de otros productos minerales,148518.45,13234.4,161752.85
2009-01-01,24,"Metalurgia; fabricación de productos de hierro, acero",103188.8,11782.6,114971.40000000001
2009-01-01,25,"Fabricación de productos metálicos, excepto maquina.",261002.1,42700.35,303702.45
2009-01-01,26,"Fabricación de productos informáticos, electró. ópticos",25736.9,2355.5,28092.4
2009-01-01,27,Fabricación de material y equipo eléctrico,44302.4,6070.35,50372.75
2009-01-01,28,Fabricación de maquinaria y equipo n.c.o.p.,145767.3,17626.1,163393.4
2009-01-01,29,"Fabricación de vehículos de motor, remolques",150307.2,2168.45,152475.65000000002
2009-01-01,30,Fabricación de otro material de transporte,59353.6,2384.8,61738.4
2009-01-01,31,Fabricación de muebles,77414.35,21264.55,98678.90000000001
2009-01-01,32,Otras industrias manufactureras,22578.05,6151.1,28729.15
2009-01-01,33,Reparación e instalación de maquinaria y equipo,71159.7,15831.1,86990.8
2009-01-01,35,"Suministro de energía eléctrica, gas, vapor  y aire c.",41497.8,1085.6,42583.4
2009-01-01,36,"Captación, depuración y distribución de agua",40003.4,513.3,40516.700000000004
2009-01-01,37,Recogida y tratamiento de aguas residuales,4031.5,204.25,4235.75
2009-01-01,38,"Recogida, tratamiento y eliminación de residuos",87858.85,1684.1,89542.95000000001
2009-01-01,39,Actividades de descontaminación y otros,916.2,115,1031.2
2009-01-01,41,Construcción de edificios,619173.1,157500.8,776673.8999999999
2009-01-01,42,Ingeniería civil,103464.9,37741.65,141206.55
2009-01-01,43,Actividades de construcción especializada,663729.3,331400.85,995130.15
2009-01-01,45,Venta y reparación de vehículos de motor,258474.15,84073.2,342547.35
2009-01-01,46,"Comercio al por mayor e intermediarios, excepto v. motor",800756.65,174499.95,975256.6000000001
2009-01-01,47,"Comercio al por menor, excepto de vehículos motor",1313664.5,539149.75,1852814.25
2009-01-01,49,Transporte terrestre y por tubería,400684.95,208222.7,608907.65
2009-01-01,50,Transporte marítimo y por vías navegable,768.1,166.5,934.6
2009-01-01,51,Transporte aéreo,40130.45,140.4,40270.85
2009-01-01,52,Almacenamiento y actividades anexas al transporte,149351.35,5788.45,155139.80000000002
2009-01-01,53,Actividades postales y de correos,59940.85,3783.45,63724.299999999996
2009-01-01,55,Servicios de alojamiento,205448.45,16848.55,222297
2009-01-01,56,Servicios de comidas y bebidas,676561.45,301452.9,978014.35
2009-01-01,58,Edición,82696.4,10649.5,93345.9
2009-01-01,59,"Actividades cinematográficas, de vídeo y prog. telev.",35742.4,6970.3,42712.700000000004
2009-01-01,60,Actividades de programación y emisión de radio y telev.,26744.25,806.25,27550.5
2009-01-01,61,Telecomunicaciones,86830.6,4433.25,91263.85
2009-01-01,62,"Programación, consultoría y otras activ. ,  Informáticas",131924.4,17035,148959.4
2009-01-01,63,Servicios de información,11625.7,5125.55,16751.25
2009-01-01,64,"Servicios financieros, excepto seguros y fondos pens.",289939.9,3062.55,293002.45
2009-01-01,65,"Seguros, reaseguros y fondos de pensiones",60502.15,4161.85,64664
2009-01-01,66,Actividades auxiliares a los servicios financieros y segur.,45059.95,42984.35,88044.29999999999
2009-01-01,68,Actividades inmobiliarias,65882.35,31165.85,97048.20000000001
2009-01-01,69,Actividades jurídicas y de contabilidad,224266.75,66490.35,290757.1
2009-01-01,70,Actividades de las sedes centrales; activ. Consul. Gest. Empr.,52141.7,15033.15,67174.84999999999
2009-01-01,71,Servicios técnicos de arquitectura e ingeniería,191808,49971.15,241779.15
2009-01-01,72,Investigación y desarrollo,51904.15,8845.1,60749.25
2009-01-01,73,Publicidad y estudios de mercado,89469.45,23113.45,112582.9
2009-01-01,74,"Otras actividades profesionales, científicas y técnicas",26936.55,29656.65,56593.2
2009-01-01,75,Actividades veterinarias,9164.1,8173.85,17337.95
2009-01-01,77,Actividades de alquiler,208169.05,55648.25,263817.3
2009-01-01,78,Actividades relacionadas con el empleo,110607.35,1791.95,112399.3
2009-01-01,79,"Actividades de agencias de viajes, operadores turis.",48661.75,10336.95,58998.7
2009-01-01,80,Actividades de seguridad e investigación,124045.2,1847.6,125892.8
2009-01-01,81,Servicios a edificios y actividades de jardinería,496479.75,47957.85,544437.6
2009-01-01,82,Actividades administrativas de oficina y activ. Aux. empresas,128173.85,19426.95,147600.80000000002
2009-01-01,84,Administración Pòblica y defensa; Seguridad Soc. oblig.,1061371.9,477.75,1061849.65
2009-01-01,85,Educación,691060.75,57130.15,748190.9
2009-01-01,86,Actividades sanitarias,854849.55,66747.85,921597.4
2009-01-01,87,Asistencia en establecimientos residenciales,179571.25,2351.4,181922.65
2009-01-01,88,Actividades de servicios sociales sin alojamiento,205979.95,3703,209682.95
2009-01-01,90,"Actividades de creación, artísticas y espectáculos",26090.75,25350.5,51441.25
2009-01-01,91,"Actividades de bibliotecas, archivos, museos y o. act. Cult.",14001.5,1680.55,15682.05
2009-01-01,92,Actividades de juegos de azar y apuestas,30212.05,5179.65,35391.7
2009-01-01,93,"Actividades deportivas, recreativas y de entretenimiento",122510.85,18247.7,140758.55000000002
2009-01-01,94,Actividades asociativas,141117.9,20186,161303.9
