fecha,cnae_cod,cnae_nombre,ccc_ultimo_dia,ccc_media_mes,trabajadores_erte_ultimo_dia,trabajadores_erte_media_mes,hombres_erte_ultimo_dia,mujeres_erte_ultimo_dia,hombres_erte_media_mes,mujeres_erte_media_mes
2020-04-01,01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",NA,NA,NA,2121.55,NA,NA,NA,NA
2020-04-01,02,Silvicultura y explotación forestal,NA,NA,NA,438.35,NA,NA,NA,NA
2020-04-01,03,Pesca y acuicultura,NA,NA,NA,1276.05,NA,NA,NA,NA
2020-04-01,05,"Extracción de antracita, hulla y lignito",NA,NA,NA,4.2,NA,NA,NA,NA
2020-04-01,06,Extracción de crudo de petróleo y gas natural,NA,NA,NA,0,NA,NA,NA,NA
2020-04-01,07,Extracción de minerales metálicos,NA,NA,NA,35.8,NA,NA,NA,NA
2020-04-01,08,Otras industrias extractivas,NA,NA,NA,866.45,NA,NA,NA,NA
2020-04-01,09,Actividades de apoyo a las industrias extractivas,NA,NA,NA,13.15,NA,NA,NA,NA
2020-04-01,10,Industria de la alimentación,NA,NA,NA,22125.4,NA,NA,NA,NA
2020-04-01,11,Fabricación de bebidas,NA,NA,NA,4565.8,NA,NA,NA,NA
2020-04-01,12,Industria del tabaco,NA,NA,NA,23.7,NA,NA,NA,NA
2020-04-01,13,Industria textil,NA,NA,NA,8349.4,NA,NA,NA,NA
2020-04-01,14,Confección de prendas de vestir,NA,NA,NA,8989,NA,NA,NA,NA
2020-04-01,15,Industria del cuero y del calzado,NA,NA,NA,4956.9,NA,NA,NA,NA
2020-04-01,16,"Industria de la madera y del corcho, excepto muebles; cestería y espartería",NA,NA,NA,5093.5,NA,NA,NA,NA
2020-04-01,17,Industria del papel,NA,NA,NA,1193.45,NA,NA,NA,NA
2020-04-01,18,Artes gráficas y reproducción de soportes grabados,NA,NA,NA,9583.9,NA,NA,NA,NA
2020-04-01,19,Coquerías y refino de petróleo,NA,NA,NA,26.1,NA,NA,NA,NA
2020-04-01,20,Industria química,NA,NA,NA,3854.2,NA,NA,NA,NA
2020-04-01,21,Fabricación de productos farmacéuticos,NA,NA,NA,410.2,NA,NA,NA,NA
2020-04-01,22,Fabricación de productos de caucho y plásticos,NA,NA,NA,12923.9,NA,NA,NA,NA
2020-04-01,23,Fabricación de otros productos minerales no metálicos,NA,NA,NA,6420.95,NA,NA,NA,NA
2020-04-01,24,"Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones",NA,NA,NA,4523.95,NA,NA,NA,NA
2020-04-01,25,"Fabricación de productos metálicos, excepto maquinaria y equipo",NA,NA,NA,23830.55,NA,NA,NA,NA
2020-04-01,26,"Fabricación de productos informáticos, electrónicos y ópticos",NA,NA,NA,1824.15,NA,NA,NA,NA
2020-04-01,27,Fabricación de material y equipo eléctrico,NA,NA,NA,2503.3,NA,NA,NA,NA
2020-04-01,28,Fabricación de maquinaria y equipo n.c.o.p.,NA,NA,NA,7656.95,NA,NA,NA,NA
2020-04-01,29,"Fabricación de vehículos de motor, remolques y semirremolques",NA,NA,NA,39957.15,NA,NA,NA,NA
2020-04-01,30,Fabricación de otro material de transporte,NA,NA,NA,2478.55,NA,NA,NA,NA
2020-04-01,31,Fabricación de muebles,NA,NA,NA,15181.6,NA,NA,NA,NA
2020-04-01,32,Otras industrias manufactureras,NA,NA,NA,7728.8,NA,NA,NA,NA
2020-04-01,33,Reparación e instalación de maquinaria y equipo,NA,NA,NA,10347.85,NA,NA,NA,NA
